*165*s*1700 rwf transferred to robert brown (250789888888) from 36521838 at 2024-06-13 18:13:31 . fee was: 100 rwf. new balance: 1850 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*7000 rwf transferred to samuel carter (250788999999) from 36521838 at 2024-06-13 18:26:07 . fee was: 100 rwf. new balance: 4750 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*10000 rwf transferred to robert brown (250791666666) from 36521838 at 2024-06-14 13:57:25 . fee was: 100 rwf. new balance: 6850 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*200 rwf transferred to alex doe (250790777777) from 36521838 at 2024-06-14 17:23:57 . fee was: 20 rwf. new balance: 4830 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-14 20:37:49 . fee was: 100 rwf. new balance: 2230 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1800 rwf transferred to linda green (250791666666) from 36521838 at 2024-06-14 20:38:41 . fee was: 100 rwf. new balance: 330 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to robert brown (250791666666) from 36521838 at 2024-06-14 23:17:17 . fee was: 100 rwf. new balance: 6230 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-15 13:12:13 . fee was: 100 rwf. new balance: 3130 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*700 rwf transferred to robert brown (250791666666) from 36521838 at 2024-06-15 14:02:22 . fee was: 20 rwf. new balance: 50310 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to robert brown (250789888888) from 36521838 at 2024-06-15 16:44:21 . fee was: 100 rwf. new balance: 24710 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to samuel carter (250791666666) from 36521838 at 2024-06-15 16:44:59 . fee was: 100 rwf. new balance: 23110 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*800 rwf transferred to samuel carter (250791666666) from 36521838 at 2024-06-16 13:06:33 . fee was: 20 rwf. new balance: 2390 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*800 rwf transferred to samuel carter (250788999999) from 36521838 at 2024-06-16 13:07:09 . fee was: 20 rwf. new balance: 1570 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to samuel carter (250789888888) from 36521838 at 2024-06-16 13:21:07 . fee was: 100 rwf. new balance: 19470 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*4600 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-16 13:26:25 . fee was: 100 rwf. new balance: 14770 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*400 rwf transferred to alex doe (250789888888) from 36521838 at 2024-06-16 14:31:13 . fee was: 20 rwf. new balance: 14350 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to linda green (250788999999) from 36521838 at 2024-06-16 21:54:00 . fee was: 20 rwf. new balance: 330 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*4550 rwf transferred to linda green (250789888888) from 36521838 at 2024-06-17 16:16:56 . fee was: 100 rwf. new balance: 5980 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*3000 rwf transferred to samuel carter (250790777777) from 36521838 at 2024-06-17 16:20:20 . fee was: 100 rwf. new balance: 2880 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*30000 rwf transferred to linda green (250791666666) from 36521838 at 2024-06-17 17:04:58 . fee was: 250 rwf. new balance: 9930 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to robert brown (250790777777) from 36521838 at 2024-06-17 18:51:05 . fee was: 20 rwf. new balance: 9410 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*10000 rwf transferred to linda green (250789888888) from 36521838 at 2024-06-17 19:50:46 . fee was: 100 rwf. new balance: 19310 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to robert brown (250790777777) from 36521838 at 2024-06-17 21:32:35 . fee was: 100 rwf. new balance: 17210 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-18 09:08:49 . fee was: 100 rwf. new balance: 13110 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1700 rwf transferred to robert brown (250789888888) from 36521838 at 2024-06-18 18:39:24 . fee was: 100 rwf. new balance: 12310 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*12000 rwf transferred to jane smith (250788999999) from 36521838 at 2024-06-19 22:17:07 . fee was: 250 rwf. new balance: 5260 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to robert brown (250788999999) from 36521838 at 2024-06-20 17:55:45 . fee was: 100 rwf. new balance: 3660 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to alex doe (250788999999) from 36521838 at 2024-06-20 19:22:27 . fee was: 20 rwf. new balance: 2640 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*5000 rwf transferred to alex doe (250789888888) from 36521838 at 2024-06-21 17:40:25 . fee was: 100 rwf. new balance: 5540 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1200 rwf transferred to alex doe (250791666666) from 36521838 at 2024-06-22 10:13:03 . fee was: 100 rwf. new balance: 4940 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to samuel carter (250788999999) from 36521838 at 2024-06-22 11:34:08 . fee was: 20 rwf. new balance: 7720 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to alex doe (250789888888) from 36521838 at 2024-06-22 20:13:21 . fee was: 100 rwf. new balance: 14120 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*8000 rwf transferred to linda green (250788999999) from 36521838 at 2024-06-23 16:47:04 . fee was: 100 rwf. new balance: 11920 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*5000 rwf transferred to linda green (250789888888) from 36521838 at 2024-06-23 20:06:48 . fee was: 100 rwf. new balance: 6020 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-24 10:37:14 . fee was: 100 rwf. new balance: 3920 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to alex doe (250791666666) from 36521838 at 2024-06-24 14:52:16 . fee was: 100 rwf. new balance: 3820 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to robert brown (250789888888) from 36521838 at 2024-06-24 14:56:40 . fee was: 20 rwf. new balance: 3300 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to jane smith (250788999999) from 36521838 at 2024-06-24 18:15:56 . fee was: 20 rwf. new balance: 4780 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*800 rwf transferred to linda green (250791666666) from 36521838 at 2024-06-24 21:39:10 . fee was: 20 rwf. new balance: 2360 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to samuel carter (250789888888) from 36521838 at 2024-06-25 09:45:05 . fee was: 100 rwf. new balance: 760 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*5000 rwf transferred to samuel carter (250790777777) from 36521838 at 2024-06-25 13:37:24 . fee was: 100 rwf. new balance: 12160 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1800 rwf transferred to jane smith (250788999999) from 36521838 at 2024-06-25 18:25:04 . fee was: 100 rwf. new balance: 8760 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2500 rwf transferred to linda green (250790777777) from 36521838 at 2024-06-25 20:46:31 . fee was: 100 rwf. new balance: 4960 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*8000 rwf transferred to linda green (250789888888) from 36521838 at 2024-06-25 22:19:18 . fee was: 100 rwf. new balance: 9360 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*10000 rwf transferred to samuel carter (250788999999) from 36521838 at 2024-06-26 12:55:52 . fee was: 100 rwf. new balance: 260 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to alex doe (250790777777) from 36521838 at 2024-06-26 16:42:17 . fee was: 100 rwf. new balance: 160 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*25000 rwf transferred to jane smith (250791666666) from 36521838 at 2024-06-26 18:40:52 . fee was: 250 rwf. new balance: 4910 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to robert brown (250790777777) from 36521838 at 2024-06-26 19:30:55 . fee was: 20 rwf. new balance: 2890 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*800 rwf transferred to samuel carter (250788999999) from 36521838 at 2024-06-27 16:46:43 . fee was: 20 rwf. new balance: 1170 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*11000 rwf transferred to jane smith (250789888888) from 36521838 at 2024-06-27 19:38:32 . fee was: 250 rwf. new balance: 4920 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*50000 rwf transferred to alex doe (250789888888) from 36521838 at 2024-06-28 17:21:38 . fee was: 250 rwf. new balance: 34170 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*20000 rwf transferred to alex doe (250789888888) from 36521838 at 2024-06-29 03:44:40 . fee was: 250 rwf. new balance: 3920 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*15000 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-29 14:41:22 . fee was: 250 rwf. new balance: 82870 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to robert brown (250788999999) from 36521838 at 2024-06-29 16:59:53 . fee was: 20 rwf. new balance: 44850 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
